Nom_archive,Auteur_recherché,Projet,ID,Titre_unique,Auteur,Résumé,Date,Publication Url,Type de document,Date de publication
Zenodo,François Baudin,CANETE,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,Line Boulonne,ALAMOD,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,François Baudin,ALAMOD,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,Samuel Abiven,RhizoSeqC,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,Claire Chenu,ALAMOD,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,Pierre Barré,ALAMOD,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,Samuel Abiven,PEACE,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,Antonio Bispo,ALAMOD,16572843,Investigating the complementarity of thermal and physical soil organic carbon fractions,"Delahaie, Amicie A.",,2025-07-29 13:58:07.638428+00:00,10.5194/soil-10-795-2024,publication,2025.0
Zenodo,Claire Chenu,ALAMOD,16538479,"Editorial for the EJP SOIL Special Issue 1 on ""Climate-Smart  Sustainable Agricultural Soil Management for the Future""","Zechmeister-Boltenstern, Sophie",,2025-07-28 14:57:33.256129+00:00,10.1111/ejss.70079,publication,2025.0
Zenodo,Philippe Ciais,DEEP-C,16530038,GIEMS-MethaneCentric v1.1,"Bernard, Juliette","<p>The Global Inundation Extent from Multi-Satellites-MethaneCentric (GIEMS-MC) provides two harmonized times series maps at 0.25&deg;x0.25&deg; and monthly time step of wetland surfaces from 1992 to 2020: one representing inundated and saturated wetlands, and the other covering all wetlands, including peatlands. In addition, GIEMS-MC provides consistent 0.25&deg;x0.25&deg; maps of rice paddies (from MIRCA2000) and open permanent water categories (from GLWDv2) used in its production. Information on the dominant vegetation type and wetland type per pixel is also provided.</p>
<p>GIEMS-MC v1.1 is the version used in related publication :<br><em>Bernard, J., Prigent, C., Jimenez, C., Fluet-Chouinard, E., Lehner, B., Salmon, E., Ciais, P., Zhang, Z., Peng, S., and Saunois, M.: The GIEMS-MethaneCentric database: a dynamic and comprehensive global product of methane-emitting aquatic areas, Earth Syst. Sci. Data, 17, 2985&ndash;3008, https://doi.org/10.5194/essd-17-2985-2025, 2025.&nbsp;</em></p>
<p>The differences between GIEMS-MC v1.1 and v1.0 are minor. These include the inclusion of Deltas in ancillary information and the correction of typos.</p>",2025-07-28 09:48:18.956947+00:00,10.5281/zenodo.16530038,dataset,2025.0
