Nom_archive,Auteur_recherché,Projet,ID,Titre_unique,Auteur,Résumé,Date,Publication Url,Date de publication
Zenodo,Camille Crapart,CarboNium,16418241,CamilMC/Aridity: HESS submission,Camille Crapart,<p>Article submission to HESS</p>,2025-07-25 08:33:32.099504+00:00,10.5281/zenodo.16418241,2025
Zenodo,"Benoit Marie ""ISEM""",CrosyeN,16272076,bpichon0/CNP_ratios_lakes: Release submission paper,Benoît Pichon,"<p>See the Readme file or the following <a href=""https://github.com/bpichon0/CNP_ratios_lakes"">link</a>.
Contact: <em>benoit.pichon0@gmail.com</em></p>",2025-07-21 13:00:55.807059+00:00,10.5281/zenodo.16272076,2025
Zenodo,Xavier Raynaud,CANETE,15809016,sintefmath/Jutul.jl: v0.4.5,Olav Møyner,"<h2>Jutul v0.4.5</h2>
<p><a href=""https://github.com/sintefmath/Jutul.jl/compare/v0.4.4...v0.4.5"">Diff since v0.4.4</a></p>
<p><strong>Merged pull requests:</strong></p>
<ul>
<li>Switch to Set from BitSet in sparsity detection (#162) (@moyner)</li>
</ul>",2025-07-04 18:59:43.357292+00:00,10.5281/zenodo.15809016,2025
Zenodo,Xavier Raynaud,PEACE,15809016,sintefmath/Jutul.jl: v0.4.5,Olav Møyner,"<h2>Jutul v0.4.5</h2>
<p><a href=""https://github.com/sintefmath/Jutul.jl/compare/v0.4.4...v0.4.5"">Diff since v0.4.4</a></p>
<p><strong>Merged pull requests:</strong></p>
<ul>
<li>Switch to Set from BitSet in sparsity detection (#162) (@moyner)</li>
</ul>",2025-07-04 18:59:43.357292+00:00,10.5281/zenodo.15809016,2025
Zenodo,"Benoit Marie ""ISEM""",CrosyeN,15762242,Final version publication with images,Benoît Pichon,"<p>Data and code for the paper: Pichon, B., K&eacute;fi, S., Gounand, I., Gross, N., Le Bagousse-Pinguet, Y., Guerber J., Eldridge D., [...], Donnet, S. and Maestre, F. (2025). Grazing modulates the multiscale spatial structure of dryland vegetation.&nbsp;<em>Global Change Biology (2025)</em>, <em>in press</em></p>",2025-06-28 10:54:24.598307+00:00,10.5281/zenodo.15762242,2025
Zenodo,Mark Bakker,Drought for C,15693968,Pastas: open-source software for the analysis of hydrogeological time series,Raoul Collenteur,"Pastas is an open source Python package for the analysis of hydrogeological time series. Using Pastas, time series models can be created and analyzed in only a few lines of Python code.",2025-06-18 22:33:24.597617+00:00,10.5281/zenodo.15693968,2025
Zenodo,"Benoit Marie ""ISEM""",CrosyeN,15632312,ismael-lajaaiti/species-stability: Submission for ELE,Ismaël Lajaaiti,No description provided.,2025-06-10 13:36:03.357346+00:00,10.5281/zenodo.15632312,2025
Zenodo,Philippe Ciais,DEEP-C,15627927,Canopy height change derived disturbance map in Italy - 2005-2023,"SU, YANG","<p>This is the data used or generated in the paper, ""<strong><span>A fused canopy height map of Italy (2004&ndash;2024) from spaceborne and airborne LiDAR, and Landsat via deep learning and Bayesian averaging</span></strong>"".</p>
<p><strong><span>Authors</span></strong></p>
<p><span>Yang Su <sup>a, b, c</sup>, Nikola Besic <sup>d</sup>, Xianglin Zhang <sup>c</sup>, Yidi Xu <sup>b</sup>, Saverio Francini <sup>e</sup>, Giovanni D'Amico <sup>f</sup>, Gherardo Chirici <sup>g, h</sup>, Martin&nbsp;Schwartz <sup>b</sup>, Ibrahim Fayad <sup>b</sup>, Sarah Brood <sup>b</sup>, Agnes Pellissier-tanon <sup>b</sup>, Ke Yu <sup>b</sup>, Haotian Chen <sup>i, c</sup>, Songchao Chen <sup>j</sup>, Alexandre d'Aspremont <sup>a</sup>, Philippe Ciais <sup>b</sup></span></p>
<p><span>&nbsp;</span></p>
<p><strong><span>Affiliations</span></strong></p>
<p><sup><span>a</span></sup><span> CNRS &amp; D&eacute;partement d'Informatique, &Eacute;cole Normale Sup&eacute;rieure &ndash; PSL, 45 Rue d'Ulm, 75005 Paris, France </span></p>
<p><sup><span>b</span></sup><span> Laboratoire des Sciences du Climat et de l&rsquo;Environnement, CEA CNRS UVSQ Orme des Merisiers, 91190 Gif-sur-Yvette, France</span></p>
<p><sup><span>c </span></sup><span>Universit&eacute; Paris-Saclay, AgroParisTech, INRAE, UMR ECOSYS, 91120 Palaiseau, France</span></p>
<p><sup><span>d </span></sup><span>IGN, ENSG, Laboratoire d'inventaire forestier (LIF), 54000 Nancy, France</span></p>
<p><sup><span>e </span></sup><span>Department of Science and Technology of Agriculture and Environment (DISTAL), University of Bologna, 40126 Bologna, Italy</span></p>
<p><sup><span>f </span></sup><span>Department of Agriculture, Food, Environment and Forestry, Universit&agrave; degli Studi di Firenze, Via San Bonaventura, 13, 50145 Firenze, Italy</span></p>
<p><sup><span>g </span></sup><span>Fondazione per il Futuro delle Citt&agrave;, Florence, Italy</span></p>
<p><sup><span>h </span></sup><span>CNR Istituto dei Sistemi Complessi, Sesto Fiorentino (Florence), Italy</span></p>
<p><sup><span>i </span></sup><span>Institute of Crop Sciences, Chinese Academy of Agricultural Sciences / Key Laboratory of Crop Physiology and Ecology, Ministry of Agriculture and Rural Affairs of China, Beijing 100081, China</span></p>
<p><sup><span>j</span></sup><span> College of Environmental and Resource Sciences, Zhejiang University, 310058 Hangzhou, China</span></p>
<p>&nbsp;</p>
<p><strong>Corresponding Author</strong></p>
<p>Yang Su</p>
<p>yang.su@ens.fr</p>
<p>+33 1 89 10 07 67</p>
<p>&Eacute;cole normale sup&eacute;rieure - PSL</p>
<p>&nbsp;</p>
<p>To use the data, please cite this study, and in case of difficulties when using the model and data, please contact the corresponding author for further details and possible assistance</p>
<p>&nbsp;</p>
<p><strong>Funding</strong></p>
<p><strong>Artificial Intelligence for forest monitoring from space &ndash; AI4Forests</strong></p>
<p>Agence Nationale de la Recherche</p>
<p><a href=""https://app.dimensions.ai/details/grant/grant.13559349"" target=""_blank"" rel=""noopener"">Find out more...</a></p>",2025-06-30 15:54:38.344276+00:00,10.5281/zenodo.15627927,2025
Zenodo,Nikola Besic,ALAMOD,15627927,Canopy height change derived disturbance map in Italy - 2005-2023,"SU, YANG","<p>This is the data used or generated in the paper, ""<strong><span>A fused canopy height map of Italy (2004&ndash;2024) from spaceborne and airborne LiDAR, and Landsat via deep learning and Bayesian averaging</span></strong>"".</p>
<p><strong><span>Authors</span></strong></p>
<p><span>Yang Su <sup>a, b, c</sup>, Nikola Besic <sup>d</sup>, Xianglin Zhang <sup>c</sup>, Yidi Xu <sup>b</sup>, Saverio Francini <sup>e</sup>, Giovanni D'Amico <sup>f</sup>, Gherardo Chirici <sup>g, h</sup>, Martin&nbsp;Schwartz <sup>b</sup>, Ibrahim Fayad <sup>b</sup>, Sarah Brood <sup>b</sup>, Agnes Pellissier-tanon <sup>b</sup>, Ke Yu <sup>b</sup>, Haotian Chen <sup>i, c</sup>, Songchao Chen <sup>j</sup>, Alexandre d'Aspremont <sup>a</sup>, Philippe Ciais <sup>b</sup></span></p>
<p><span>&nbsp;</span></p>
<p><strong><span>Affiliations</span></strong></p>
<p><sup><span>a</span></sup><span> CNRS &amp; D&eacute;partement d'Informatique, &Eacute;cole Normale Sup&eacute;rieure &ndash; PSL, 45 Rue d'Ulm, 75005 Paris, France </span></p>
<p><sup><span>b</span></sup><span> Laboratoire des Sciences du Climat et de l&rsquo;Environnement, CEA CNRS UVSQ Orme des Merisiers, 91190 Gif-sur-Yvette, France</span></p>
<p><sup><span>c </span></sup><span>Universit&eacute; Paris-Saclay, AgroParisTech, INRAE, UMR ECOSYS, 91120 Palaiseau, France</span></p>
<p><sup><span>d </span></sup><span>IGN, ENSG, Laboratoire d'inventaire forestier (LIF), 54000 Nancy, France</span></p>
<p><sup><span>e </span></sup><span>Department of Science and Technology of Agriculture and Environment (DISTAL), University of Bologna, 40126 Bologna, Italy</span></p>
<p><sup><span>f </span></sup><span>Department of Agriculture, Food, Environment and Forestry, Universit&agrave; degli Studi di Firenze, Via San Bonaventura, 13, 50145 Firenze, Italy</span></p>
<p><sup><span>g </span></sup><span>Fondazione per il Futuro delle Citt&agrave;, Florence, Italy</span></p>
<p><sup><span>h </span></sup><span>CNR Istituto dei Sistemi Complessi, Sesto Fiorentino (Florence), Italy</span></p>
<p><sup><span>i </span></sup><span>Institute of Crop Sciences, Chinese Academy of Agricultural Sciences / Key Laboratory of Crop Physiology and Ecology, Ministry of Agriculture and Rural Affairs of China, Beijing 100081, China</span></p>
<p><sup><span>j</span></sup><span> College of Environmental and Resource Sciences, Zhejiang University, 310058 Hangzhou, China</span></p>
<p>&nbsp;</p>
<p><strong>Corresponding Author</strong></p>
<p>Yang Su</p>
<p>yang.su@ens.fr</p>
<p>+33 1 89 10 07 67</p>
<p>&Eacute;cole normale sup&eacute;rieure - PSL</p>
<p>&nbsp;</p>
<p>To use the data, please cite this study, and in case of difficulties when using the model and data, please contact the corresponding author for further details and possible assistance</p>
<p>&nbsp;</p>
<p><strong>Funding</strong></p>
<p><strong>Artificial Intelligence for forest monitoring from space &ndash; AI4Forests</strong></p>
<p>Agence Nationale de la Recherche</p>
<p><a href=""https://app.dimensions.ai/details/grant/grant.13559349"" target=""_blank"" rel=""noopener"">Find out more...</a></p>",2025-06-30 15:54:38.344276+00:00,10.5281/zenodo.15627927,2025
Zenodo,Philippe Ciais,DEEP-C,15627897,Canopy height map in Italy - 2004-2024,"SU, YANG","<p>This is the data used or generated in the paper, ""<strong><span>A fused canopy height map of Italy (2004&ndash;2024) from spaceborne and airborne LiDAR, and Landsat via deep learning and Bayesian averaging</span></strong>"".</p>
<p><strong><span>Authors</span></strong></p>
<p><span>Yang Su <sup>a, b, c</sup>, Nikola Besic <sup>d</sup>, Xianglin Zhang <sup>c</sup>, Yidi Xu <sup>b</sup>, Saverio Francini <sup>e</sup>, Giovanni D'Amico <sup>f</sup>, Gherardo Chirici <sup>g, h</sup>, Martin&nbsp;Schwartz <sup>b</sup>, Ibrahim Fayad <sup>b</sup>, Sarah Brood <sup>b</sup>, Agnes Pellissier-tanon <sup>b</sup>, Ke Yu <sup>b</sup>, Haotian Chen <sup>i, c</sup>, Songchao Chen <sup>j</sup>, Alexandre d'Aspremont <sup>a</sup>, Philippe Ciais <sup>b</sup></span></p>
<p><span>&nbsp;</span></p>
<p><strong><span>Affiliations</span></strong></p>
<p><sup><span>a</span></sup><span> CNRS &amp; D&eacute;partement d'Informatique, &Eacute;cole Normale Sup&eacute;rieure &ndash; PSL, 45 Rue d'Ulm, 75005 Paris, France </span></p>
<p><sup><span>b</span></sup><span> Laboratoire des Sciences du Climat et de l&rsquo;Environnement, CEA CNRS UVSQ Orme des Merisiers, 91190 Gif-sur-Yvette, France</span></p>
<p><sup><span>c </span></sup><span>Universit&eacute; Paris-Saclay, AgroParisTech, INRAE, UMR ECOSYS, 91120 Palaiseau, France</span></p>
<p><sup><span>d </span></sup><span>IGN, ENSG, Laboratoire d'inventaire forestier (LIF), 54000 Nancy, France</span></p>
<p><sup><span>e </span></sup><span>Department of Science and Technology of Agriculture and Environment (DISTAL), University of Bologna, 40126 Bologna, Italy</span></p>
<p><sup><span>f </span></sup><span>Department of Agriculture, Food, Environment and Forestry, Universit&agrave; degli Studi di Firenze, Via San Bonaventura, 13, 50145 Firenze, Italy</span></p>
<p><sup><span>g </span></sup><span>Fondazione per il Futuro delle Citt&agrave;, Florence, Italy</span></p>
<p><sup><span>h </span></sup><span>CNR Istituto dei Sistemi Complessi, Sesto Fiorentino (Florence), Italy</span></p>
<p><sup><span>i </span></sup><span>Institute of Crop Sciences, Chinese Academy of Agricultural Sciences / Key Laboratory of Crop Physiology and Ecology, Ministry of Agriculture and Rural Affairs of China, Beijing 100081, China</span></p>
<p><sup><span>j</span></sup><span> College of Environmental and Resource Sciences, Zhejiang University, 310058 Hangzhou, China</span></p>
<p>&nbsp;</p>
<p><strong>Corresponding Author</strong></p>
<p>Yang Su</p>
<p>yang.su@ens.fr</p>
<p>+33 1 89 10 07 67</p>
<p>&Eacute;cole normale sup&eacute;rieure - PSL</p>
<p>&nbsp;</p>
<p>To use the data, please cite this study, and in case of difficulties when using the model and data, please contact the corresponding author for further details and possible assistance</p>
<p>&nbsp;</p>
<p><strong>Funding</strong></p>
<p><strong>Artificial Intelligence for forest monitoring from space &ndash; AI4Forests</strong></p>
<p>Agence Nationale de la Recherche</p>
<p><a href=""https://app.dimensions.ai/details/grant/grant.13559349"" target=""_blank"" rel=""noopener"">Find out more...</a></p>",2025-06-30 15:50:39.119598+00:00,10.5281/zenodo.15627897,2025
